id, name, terminalName, lat, long, installed, locked, installDate, removalDate, temporary, nbBikes, nbEmptyDocks, latestUpdateTime
425,"Complexe sportif Claude-Robillard",6412,45.554492,-73.635151,true,false,1333747500000,,false,13,1,1335479582371
426,"Square Phillips 2",6413,45.503873,-73.568679,true,false,1333325940000,,false,11,54,1335492246674
427,Agnes/St-Antoine,6414,45.480065,-73.587005,true,false,,,false,8,6,1335486816285
428,"Ross / Ave de Léglise",6425,45.462742,-73.565845,true,false,1334013720000,,false,6,8,1335489644016
429,"Willibord / Verdun",6426,45.459707,-73.571438,true,false,1334064300000,,false,14,5,1335493848001
430,"Rushbrooke / Ave Caisse",6427,45.470605,-73.565459,true,false,1334742000000,,false,13,6,1335487032135
431,"Ch. de la Pointe Nord ",6428,45.46729,-73.542357,true,false,1334013780000,,false,5,10,1335481765171
432,"Emile-Journault / Marcel Cadieux",6411,45.552232,-73.639539,true,false,1333747320000,,false,6,5,1335475659142
433,"Place du Commerce",6429,45.472659,-73.542244,true,false,1334013840000,,false,5,10,1335481780314
437,"Cartier / Rosemont",6281,45.5413,-73.591,true,false,1333556340000,,false,4,11,1335488483304
438,"Boul Maisonneuve/Greene",6432,45.487331,-73.58895,true,false,1334757420000,,false,9,6,1335488566355
439,"Hillside / Ste-Catherine",6433,45.4829,-73.591,true,false,1333675500000,,false,4,11,1335490920602
440,Victoria/Maisonneuve,6434,45.477581,-73.600353,true,false,1333675560000,,false,1,14,1335491266422
441,"Victorial Hall",6435,45.4816,-73.6,true,false,1333675440000,,false,8,7,1335492275731
442,"Argyle / Sherbrooke",6436,45.486,-73.5959,true,false,,,false,10,5,1335487393608
443,"St-Charles / Châteauguay",5002,45.5332,-73.5156,true,false,1333661640000,,false,5,14,1335492301538
444,"Place Longueuil",5003,45.5294,-73.5178,true,false,1333661580000,,false,3,12,1335481697340
445,"Grant / St-Laurent",5004,45.5382,-73.5058,true,false,1333661580000,,false,9,6,1335491924542
446,"St-Charles / St-Jean",5005,45.5375,-73.5109,true,false,1333661640000,,false,13,6,1335481704331
447,"Collège Édouard-Montpetit",5006,45.5368,-73.4954,true,false,1333661640000,,false,14,12,1335481714700
448,"Métro Longueuil - Université de Sherbrooke",5007,45.523167,-73.519888,true,false,1333661700000,,false,12,35,1335490462635
449,"Métro Longueuil - Université de Sherbrooke",5007,45.523167,-73.519888,true,false,1333661700000,,false,12,35,1335490462635
